項次編號,評分等級,認定項目,行政區編號,地址,場所名稱
394,2,4,63000040,中山北路1段109號,醇建築大廈
395,2,9,63000040,復興北路376號,捷運中山國中站
396,2,9,63000040,酒泉街9之1號,捷運圓山站
397,2,8,63000040,北安路780號,美麗新廣場
398,2,4,63000040,松江路236號,松江1號院
399,2,7,63000040,中山北路三段2-1號,永固便利停車股份有限公司
400,2,7,63000040,市民大道三段65號,台灣聯通停車塔-北科大場
401,2,7,63000040,松江路126、128號停車塔,台灣聯通停車塔-將捷一場
402,2,7,63000040,林森北路359號,台灣聯通停車塔-華泰王子場 
403,2,7,63000040,林森北路308號,千里亭停車塔
404,2,7,63000040,林森北路125號,嘟嘟房-林森2站
405,2,4,63000040,南京東路2段23號,德運京鼎大樓
406,2,8,63000040,樂群三路200號,忠泰樂生活
407,2,4,63000040,民生東路3段6號,臺北國泰萬怡酒店
408,2,5,63000040,民生西路16號,私立長德康復之家
409,2,5,63000040,建國北路3段42號12樓,私立采虹康復之家
410,2,5,63000040,南京東路3段91號3樓,財團法人陽光社會福利基金會
411,2,9,63000040,敬業三路20號6~9樓,美麗華大直影城
412,2,9,63000040,北安路780號1、B2樓,大直皇家影城
413,2,9,63000040,南京東路2段96號B1樓,雅士達娛樂舞場
414,2,9,63000040,民生東路1段54號B1樓,富驛酒店
415,2,9,63000040,民權東路2段41號,亞都麗緻大飯店股份有限公司
416,2,9,63000040,天祥路213號13樓,優爾空間個人倉庫(大同店)
417,2,9,63000040,民生東路2段119號,收多易迷你倉庫(民生松江店)
418,2,5,63000040,臺北市中山區伊通街28號,劉秀娥長照社團法人附設臺北市私立宜恩住宿長照機構
419,2,1,63000060,迪化街2段1至85號,磚木造建築物
420,2,1,63000060,迪化街2段99至155號,磚木造建築物
421,2,7,63000060,重慶北路3段139號,愛馬屋大同場機械式密閉停車塔
422,2,9,63000060,延平北路4段259號,大同變電所
423,2,9,63000060,民權西路184巷33至59之1號,集合住宅
424,2,7,63000060,大龍街136號,揚雅立體停車塔
425,2,4,63000060,承德路1段21號,京王大樓
426,2,4,63000060,華亭街1號,長安雋大樓
427,1,9,63000110,延平北路8段244號1至3樓,延平北路8段244號蝸居處所
